OK
315.705621
825
Boogie Dump Took : 0.997755
0.001714
7.941375
0.378633349090909
0,0,0,0,0,0,0,8.407079,12,14,8
0,0,0,0,0,0,0,8.53586,5,6,3
0,0,0,0,0,0,0,8.546689,8,13,12
0,0,0,0,0,0,0,8.298764,6,18,11
0,0,0,0,0,0,0,8.426776,8,18,11
0,0,0,0,0,0,0,8.2161,12,9,9
0,0,0,0,0,0,0,7.759831,9,17,12
0,0,0,0,0,0,0,7.754712,10,13,14
0,0,0,0,0,0,0,8.144017,10,16,11
0,0,0,0,0,0,0,8.220017,16,8,5
0,0,0,0,0,0,0,8.139567,9,15,13
0,0,0,0,0,0,0,8.143454,14,9,10
0,0,0,0,0,0,0,7.993353,9,4,4
0,0,0,0,0,0,0,8.402105,8,18,7
0,0,0,0,0,0,0,8.168469,12,10,8
0,0,0,0,0,0,0,8.306677,8,14,8
0,0,0,0,0,0,0,8.449353,14,13,10
0,0,0,0,0,0,0,8.536736,8,16,10
0,0,0,0,0,0,0,7.995227,5,19,10
0,0,0,0,0,0,0,8.309254,15,19,6
0,0,0,0,0,0,0,6.392105,4,14,11
0,0,0,0,0,0,0,8.21624,10,5,4
0,0,0,0,0,0,0,7.853125,14,16,8
0,0,0,0,0,0,0,8.021353,5,12,14
0,0,0,0,0,0,0,7.68219,6,16,12
0,0,0,0,0,0,0,7.566926,11,19,7
0,0,0,0,0,0,0,7.642002,8,16,15
0,0,0,0,0,0,0,8.268369,7,11,13
0,0,0,0,0,0,0,8.133994,6,6,5
0,0,0,0,0,0,0,7.72078,7,14,11
0,0,0,0,0,0,0,8.605575,12,11,3
0,0,0,0,0,0,0,8.108988,5,21,8
#stats#
TotalSplitsOR: 890
TotalSplitsAND: 6949
Non-Leading client : comma seperated leading clients killed
28 : 
2 : 
7 : 
30 : 
15 : 
28 : 
1 : 
7 : 
5 : 
0 : 
28 : 
5 : 
1 : 
13 : 
0 : 
7 : 
1 : 
21 : 
28 : 
15 : 
12 : 
15 : 
21 : 
14 : 
14 : 
21 : 
1 : 
12 : 
28 : 
12 : 
9 : 
5 : 
30 : 
12 : 
28 : 
21 : 
30 : 
0 : 
1 : 24,-1,-1,26,-1,-1,17,-1,0,10,-1,6,28,-1,-1,31,-1,3,8,19,-1,29,-1,-1,7,-1,14,27,16,-1,9,12,-1,18,-1,25,-1,-1,13,-1,11,15,-1,23,4,-1
Node : startTime, EndTime
70 : 06-04 13:15:17.404086,06-04 13:15:17.453616
71 : 06-04 13:15:17.405210,06-04 13:15:17.453660
240 : 06-04 13:15:20.818536,06-04 13:15:20.838802
241 : 06-04 13:15:20.820426,06-04 13:15:20.838818
740 : 06-04 13:15:34.036347,06-04 13:15:34.055092
741 : 01-01 00:00:00.000000,06-04 13:15:34.055120
1165 : 06-04 13:16:07.508175,06-04 13:16:07.564894
1166 : 01-01 00:00:00.000000,06-04 13:16:07.564929
1175 : 06-04 13:16:07.551541,06-04 13:16:07.576443
1176 : 01-01 00:00:00.000000,06-04 13:16:07.576473
1120 : 06-04 13:16:05.610724,06-04 13:16:08.124765
1121 : 01-01 00:00:00.000000,06-04 13:16:08.124794
1110 : 06-04 13:16:05.386726,06-04 13:16:08.216444
1111 : 01-01 00:00:00.000000,06-04 13:16:08.216472
1190 : 06-04 13:16:08.534185,06-04 13:16:08.555677
1191 : 01-01 00:00:00.000000,06-04 13:16:08.555701
920 : 06-04 13:15:48.289456,06-04 13:16:15.754375
921 : 06-04 13:16:01.812946,06-04 13:16:15.754398
1155 : 06-04 13:16:07.446937,06-04 13:16:18.142480
1156 : 01-01 00:00:00.000000,06-04 13:16:18.142507
1100 : 06-04 13:16:05.092149,06-04 13:16:23.263847
1101 : 06-04 13:16:10.283778,06-04 13:16:23.263872
1465 : 06-04 13:16:30.258994,06-04 13:16:30.315295
1466 : 01-01 00:00:00.000000,06-04 13:16:30.315322
1275 : 06-04 13:16:15.462794,06-04 13:16:31.314888
1276 : 06-04 13:16:16.487106,06-04 13:16:31.314928
1525 : 06-04 13:16:34.126988,06-04 13:16:34.201358
1526 : 01-01 00:00:00.000000,06-04 13:16:34.201383
1575 : 06-04 13:16:39.041896,06-04 13:16:39.098691
1576 : 01-01 00:00:00.000000,06-04 13:16:39.098711
1600 : 06-04 13:16:40.336181,06-04 13:16:40.420376
1601 : 01-01 00:00:00.000000,06-04 13:16:40.420405
1655 : 06-04 13:16:43.440780,06-04 13:16:43.484307
1656 : 01-01 00:00:00.000000,06-04 13:16:43.484339
1395 : 06-04 13:16:24.221693,06-04 13:16:46.508492
1396 : 06-04 13:16:26.409190,06-04 13:16:46.508521
1710 : 06-04 13:16:48.096970,06-04 13:16:48.183356
1711 : 01-01 00:00:00.000000,06-04 13:16:48.183387
1440 : 06-04 13:16:28.976755,06-04 13:16:49.448982
