0.022367,1
0.025356,1
9.4E-05,0.000202,1
0.000378,1
0.000345,1
0.000687,1
0.000946,1
0.00046,1
0.007033,1
0.00066,1
0.000412,8
0.029186,17
0.032181,14
0.02352,27
0.041118,31
0.043192,49
0.108506,48
0.136447,62
0.199757,85
0.265437,125
0.3543,155
0.341326,218
0.502899,221
0.610453,222
0.964463,192
1.187365,196
1.639942,131
1.760798,83
0.014599,0
2.026128,82
2.339414,124
0.709932,3
2.760818,157
3.25165,173
0.021237,0
3.229554,270
3.631573,304
4.361045,361
5.093433,276
1.65408,3
5.223501,216
2.175168,48
2.324748,20
2.423329,1.638028,3
2.632797,174
2.920608,170
3.524451,159
4.052144,149
1.563414,102
0.848457,7
1.74414,87
1.7008,78
1.885056,68
0.909044,6
0.158175,0
0.850011,3
2.461506,61
2.73798,75
0.896229,4
0.8691,4
3.089693,55
3.493455,35
1.022324,3
3.462172,36
1.166454,2
3.598717,26
1.730843,3
2.755165,23
2.858907,12
3.015456,11
3.088945,11
3.032972,11
3.540582,0
2.878046,11
2.070568,7
2.435563,3.007596,11
3.808219,0.000453,0.000456,2.683944,64
1.52022,4
0.828374,3
2.347033,91
2.982196,63
3.535068,35
0.920967,4
3.559628,44
0.882049,2
3.899306,33
3.940051,30
1.034545,4
3.977697,14
1.083552,3
3.826189,13
3.898748,13
3.857543,13
4.945024,0
0.000418,0.000426,0.000861,0.000378,0.000466,3.786411,4
0.60299,43
0.615786,51
0.799557,2
0.595587,4
0.705444,37
0.75079,20
0.738532,17
0.7462,6
0.837946,5
0.817026,6
0.85361,5
0.85832,4
0.655375,5
0.909396,10
0.67898,3
0.969987,12
0.871215,10
0.629179,3
0.632341,3
0.734554,2
0.95042,30
0.724684,4
0.638703,4
0.934307,30
0.862672,33
1.113974,0.001507,0.001303,0.000556,
