Name,30_Outcome,50_Outcome,70_Outcome,30_InlinedProcedures,50_InlinedProcedures,70_InlinedProcedures,30_Runtime,50_Runtime,70_Runtime,Who_Performed_Better
kbdclass_forwardedatbadirql_1.bpl.bpl.txt,ReachedBound,ReachedBound,ReachedBound,7119,6875,6494,132.39,155.03,304.03,30
1394vdev_markirppending_0.bpl.bpl.txt,OK,OK,ReachedBound,14248,13002,9966,460.53,449.75,304.59,70
parzip_nsremovelockmnsurpriseremove_0.bpl.bpl.txt,ReachedBound,ReachedBound,TIMEDOUT,3567,3461,0,818.58,1691.24,3600.0,30
modem_markingqueuedirps_0.bpl.bpl.txt,ReachedBound,ReachedBound,ReachedBound,3030,3016,2932,245.5,244.81,278.96,50
modem_markirppending_0.bpl.bpl.txt,TIMEDOUT,TIMEDOUT,TIMEDOUT,0,0,0,3600.0,3600.0,3600.0,NONE
avc_completerequeststatuscheck_1.bpl.bpl.txt,NOK,NOK,NOK,5579,5370,3630,120.9,118.2,117.11,70
usbprint_ioallocateirpsignaleventincompletion_0.bpl.bpl.txt,ReachedBound,ReachedBound,ReachedBound,4137,4157,4180,177.9,217.69,277.83,30
hw_irqlreturn_0.bpl.bpl.txt,ReachedBound,ReachedBound,ReachedBound,6738,6886,6666,1165.68,1171.91,1000.22,70
mp_markingqueuedirps_0.bpl.bpl.txt,NOK,NOK,NOK,3176,3031,2081,124.23,150.97,192.26,30
ppa3x_nsremovelockmnsurpriseremove_0.bpl.bpl.txt,ReachedBound,ReachedBound,ReachedBound,3574,3635,3859,829.67,1525.26,3024.31,30
serial_pendedcompletedrequest3_0.bpl.bpl.txt,ReachedBound,ReachedBound,ReachedBound,6427,6178,5804,1270.48,1032.06,1144.69,50
sys_removelockmnsurpriseremove_0.bpl.bpl.txt,NOK,NOK,NOK,2952,884,886,36.34,19.06,61.49,50
kbdclass_ioallocateirpsignaleventincompletion_0.bpl.bpl.txt,ReachedBound,ReachedBound,ReachedBound,4919,4945,4947,58.05,67.87,110.91,30
ppa3x_nsremovelockmnremove_0.bpl.bpl.txt,TIMEDOUT,TIMEDOUT,TIMEDOUT,0,0,0,3600.0,3600.0,3600.0,NONE
kbdclass_signaleventincompletion_1.bpl.bpl.txt,NOK,NOK,NOK,5446,8933,6722,95.75,143.46,193.94,30
61883_ioallocatecomplete_1.bpl.bpl.txt,NOK,NOK,NOK,40512,31223,31306,1502.85,1006.25,1107.19,50
sbp2port_deletedevice_0.bpl.bpl.txt,ReachedBound,ReachedBound,ReachedBound,3257,3175,3083,509.73,486.26,542.76,50
sbp2port_irqliopassive1_0.bpl.bpl.txt,NOK,NOK,NOK,1740,1632,1412,871.11,1066.13,1349.54,30
kbdclass_ioallocatefree_0.bpl.bpl.txt,ReachedBound,ReachedBound,ReachedBound,6096,6107,6083,221.58,291.9,345.29,30
mouser_completerequest_0.bpl.bpl.txt,NOK,TIMEDOUT,TIMEDOUT,3365,0,0,638.26,3600.0,3600.0,30
kbdclass_forwardedatbadirql_0.bpl.bpl.txt,ReachedBound,ReachedBound,ReachedBound,3960,4307,4356,70.81,135.83,287.05,30
mouclass_signaleventincompletion_1.bpl.bpl.txt,ReachedBound,ReachedBound,ReachedBound,2343,2428,2214,88.02,109.76,101.95,30
ppa3x_nsremovelockquerymnremove_0.bpl.bpl.txt,TIMEDOUT,TIMEDOUT,TIMEDOUT,0,0,0,3600.0,3600.0,3600.0,NONE
serial_pendedcompletedrequest3_2.bpl.bpl.txt,ReachedBound,ReachedBound,ReachedBound,6236,6308,5631,1080.1,1188.13,1243.2,30
kbdclass_removelockmnsurpriseremove_1.bpl.bpl.txt,NOK,NOK,NOK,8665,2767,1340,1646.1,253.07,105.97,70
