Name,30_Outcome,50_Outcome,70_Outcome,30_InlinedProcedures,50_InlinedProcedures,70_InlinedProcedures,30_Runtime,50_Runtime,70_Runtime,Who_Performed_Better
kbdclass_forwardedatbadirql_1.bpl.bpl.txt,ReachedBound,ReachedBound,ReachedBound,7283,6891,6877,152.88,243.56,526.33,30
1394vdev_markirppending_0.bpl.bpl.txt,OK,ReachedBound,OK,14282,13666,12758,526.04,528.56,436.32,70
parzip_nsremovelockmnsurpriseremove_0.bpl.bpl.txt,ReachedBound,ReachedBound,ReachedBound,3503,3771,3835,786.29,1565.45,2755.7,30
modem_markingqueuedirps_0.bpl.bpl.txt,ReachedBound,ReachedBound,ReachedBound,3019,3021,2948,211.19,257.32,304.44,30
modem_markirppending_0.bpl.bpl.txt,TIMEDOUT,TIMEDOUT,TIMEDOUT,0,0,0,3600.0,3600.0,3600.0,NONE
avc_completerequeststatuscheck_1.bpl.bpl.txt,NOK,NOK,NOK,6393,3896,4048,136.91,113.95,195.83,50
usbprint_ioallocateirpsignaleventincompletion_0.bpl.bpl.txt,ReachedBound,ReachedBound,ReachedBound,4123,4160,4193,184.78,276.42,300.42,30
hw_irqlreturn_0.bpl.bpl.txt,ReachedBound,ReachedBound,ReachedBound,6586,6526,6822,1962.92,1435.43,1115.3,70
mp_markingqueuedirps_0.bpl.bpl.txt,NOK,NOK,NOK,3297,2819,2505,119.74,107.37,192.01,50
ppa3x_nsremovelockmnsurpriseremove_0.bpl.bpl.txt,ReachedBound,ReachedBound,TIMEDOUT,3541,3591,0,807.18,1162.14,3600.0,30
serial_pendedcompletedrequest3_0.bpl.bpl.txt,ReachedBound,ReachedBound,ReachedBound,6075,6113,5840,982.32,1012.91,1070.2,30
sys_removelockmnsurpriseremove_0.bpl.bpl.txt,NOK,NOK,NOK,2898,2266,1768,28.76,30.96,42.44,30
kbdclass_ioallocateirpsignaleventincompletion_0.bpl.bpl.txt,ReachedBound,ReachedBound,ReachedBound,4878,4939,4980,55.67,83.94,145.53,30
ppa3x_nsremovelockmnremove_0.bpl.bpl.txt,TIMEDOUT,TIMEDOUT,TIMEDOUT,0,0,0,3600.0,3600.0,3600.0,NONE
kbdclass_signaleventincompletion_1.bpl.bpl.txt,NOK,NOK,NOK,5715,5711,7732,104.98,102.2,291.98,50
61883_ioallocatecomplete_1.bpl.bpl.txt,NOK,NOK,NOK,38054,31105,31194,1354.84,981.94,1095.16,50
sbp2port_deletedevice_0.bpl.bpl.txt,ReachedBound,ReachedBound,ReachedBound,3308,3073,3111,570.27,550.03,567.33,50
sbp2port_irqliopassive1_0.bpl.bpl.txt,NOK,NOK,NOK,1760,1534,1475,570.35,429.74,1718.19,50
kbdclass_ioallocatefree_0.bpl.bpl.txt,ReachedBound,ReachedBound,ReachedBound,6100,6093,6045,239.43,292.61,340.75,30
mouser_completerequest_0.bpl.bpl.txt,NOK,TIMEDOUT,TIMEDOUT,3194,0,0,505.18,3600.0,3600.0,30
kbdclass_forwardedatbadirql_0.bpl.bpl.txt,ReachedBound,ReachedBound,ReachedBound,3916,3967,4432,84.57,137.43,256.43,30
mouclass_signaleventincompletion_1.bpl.bpl.txt,ReachedBound,ReachedBound,ReachedBound,2655,2340,2365,129.96,97.8,128.32,50
ppa3x_nsremovelockquerymnremove_0.bpl.bpl.txt,TIMEDOUT,TIMEDOUT,TIMEDOUT,0,0,0,3600.0,3600.0,3600.0,NONE
serial_pendedcompletedrequest3_2.bpl.bpl.txt,ReachedBound,ReachedBound,ReachedBound,6220,6054,6257,1091.96,1129.78,1373.0,30
kbdclass_removelockmnsurpriseremove_1.bpl.bpl.txt,NOK,NOK,NOK,4019,2028,749,1126.26,180.26,55.1,70
