Name,30_Outcome,50_Outcome,70_Outcome,30_InlinedProcedures,50_InlinedProcedures,70_InlinedProcedures,30_Runtime,50_Runtime,70_Runtime,Who_Performed_Better
kbdclass_forwardedatbadirql_1.bpl.bpl.txt,ReachedBound,ReachedBound,ReachedBound,7542,6911,7031,178.8,143.34,549.43,50
1394vdev_markirppending_0.bpl.bpl.txt,ReachedBound,OK,ReachedBound,14600,14311,12713,628.75,577.95,484.56,70
parzip_nsremovelockmnsurpriseremove_0.bpl.bpl.txt,ReachedBound,ReachedBound,ReachedBound,3722,3688,3763,1420.56,1141.47,2929.93,50
modem_markingqueuedirps_0.bpl.bpl.txt,ReachedBound,ReachedBound,ReachedBound,3036,2941,2954,231.69,257.38,322.89,30
modem_markirppending_0.bpl.bpl.txt,TIMEDOUT,TIMEDOUT,TIMEDOUT,0,0,0,3600.0,3600.0,3600.0,NONE
avc_completerequeststatuscheck_1.bpl.bpl.txt,NOK,NOK,NOK,4346,3561,4023,91.07,105.83,223.65,30
usbprint_ioallocateirpsignaleventincompletion_0.bpl.bpl.txt,ReachedBound,ReachedBound,ReachedBound,4135,4165,4185,197.54,223.81,271.04,30
hw_irqlreturn_0.bpl.bpl.txt,ReachedBound,ReachedBound,ReachedBound,6596,7128,6714,1927.14,1734.86,1331.9,70
mp_markingqueuedirps_0.bpl.bpl.txt,NOK,NOK,NOK,3666,3101,2587,128.45,148.98,240.48,30
ppa3x_nsremovelockmnsurpriseremove_0.bpl.bpl.txt,ReachedBound,ReachedBound,ReachedBound,3779,3676,3884,1325.96,1071.61,2402.71,50
serial_pendedcompletedrequest3_0.bpl.bpl.txt,ReachedBound,ReachedBound,ReachedBound,6433,6118,5776,1265.16,1101.09,1468.05,50
sys_removelockmnsurpriseremove_0.bpl.bpl.txt,NOK,NOK,NOK,2228,1151,964,27.84,20.66,20.7,50
kbdclass_ioallocateirpsignaleventincompletion_0.bpl.bpl.txt,ReachedBound,ReachedBound,ReachedBound,4831,4991,4986,47.42,75.6,94.61,30
ppa3x_nsremovelockmnremove_0.bpl.bpl.txt,TIMEDOUT,TIMEDOUT,TIMEDOUT,0,0,0,3600.0,3600.0,3600.0,NONE
kbdclass_signaleventincompletion_1.bpl.bpl.txt,NOK,NOK,NOK,7265,6591,4983,121.76,148.3,205.53,30
61883_ioallocatecomplete_1.bpl.bpl.txt,NOK,NOK,NOK,30835,30871,40318,1033.17,1033.85,1402.3,30
sbp2port_deletedevice_0.bpl.bpl.txt,ReachedBound,ReachedBound,ReachedBound,3305,3135,3063,509.19,588.08,632.97,30
sbp2port_irqliopassive1_0.bpl.bpl.txt,NOK,NOK,NOK,1778,1509,1570,536.82,931.32,1826.24,30
kbdclass_ioallocatefree_0.bpl.bpl.txt,ReachedBound,ReachedBound,ReachedBound,6091,6093,6084,221.76,280.92,378.96,30
mouser_completerequest_0.bpl.bpl.txt,NOK,TIMEDOUT,TIMEDOUT,3215,0,0,628.81,3600.0,3600.0,30
kbdclass_forwardedatbadirql_0.bpl.bpl.txt,ReachedBound,ReachedBound,ReachedBound,4679,4326,4619,107.31,167.26,229.55,30
mouclass_signaleventincompletion_1.bpl.bpl.txt,ReachedBound,ReachedBound,ReachedBound,2457,2272,2344,107.75,96.05,116.87,50
ppa3x_nsremovelockquerymnremove_0.bpl.bpl.txt,TIMEDOUT,TIMEDOUT,TIMEDOUT,0,0,0,3600.0,3600.0,3600.0,NONE
serial_pendedcompletedrequest3_2.bpl.bpl.txt,ReachedBound,ReachedBound,ReachedBound,6149,6351,5870,1006.27,1242.49,1233.57,30
kbdclass_removelockmnsurpriseremove_1.bpl.bpl.txt,NOK,NOK,NOK,4343,1905,1147,403.0,168.05,96.62,70
