OK
719.380527
557
Boogie Dump Took : 1.477238
0.001958
19.090452
1.25994128186715
0,0,0,0,0,0,0,20.764788,3,0,6
0,0,0,0,0,0,0,22.443588,5,7,2
0,0,0,0,0,0,0,15.784734,3,0,10
0,0,0,0,0,0,0,22.87739,5,1,4
0,0,0,0,0,0,0,19.596214,4,0,5
0,0,0,0,0,0,0,19.769049,5,9,4
0,0,0,0,0,0,0,20.176056,7,7,5
0,0,0,0,0,0,0,16.504599,3,2,9
0,0,0,0,0,0,0,20.015329,5,8,1
0,0,0,0,0,0,0,17.512213,4,10,5
0,0,0,0,0,0,0,18.711417,2,0,7
0,0,0,0,0,0,0,27.753951,6,7,3
0,0,0,0,0,0,0,24.211956,7,7,1
0,0,0,0,0,0,0,20.822325,4,3,3
0,0,0,0,0,0,0,19.726555,2,0,7
0,0,0,0,0,0,0,21.539297,7,7,0
0,0,0,0,0,0,0,32.92543,6,17,0
0,0,0,0,0,0,0,32.738948,4,2,1
0,0,0,0,0,0,0,32.757489,3,5,0
0,0,0,0,0,0,0,28.906662,6,12,7
0,0,0,0,0,0,0,28.891266,4,14,5
0,0,0,0,0,0,0,28.87132,4,5,2
0,0,0,0,0,0,0,32.205468,5,8,5
0,0,0,0,0,0,0,32.568441,5,25,0
0,0,0,0,0,0,0,32.268401,2,4,1
0,0,0,0,0,0,0,33.258191,7,11,0
0,0,0,0,0,0,0,33.180435,4,9,5
0,0,0,0,0,0,0,33.53882,5,10,1
0,0,0,0,0,0,0,33.860303,2,6,0
0,0,0,0,0,0,0,34.178063,2,8,0
0,0,0,0,0,0,0,34.972446,2,18,5
0,0,0,0,0,0,0,35.60477,5,3,0
#stats#
TotalSplitsOR: 144
TotalSplitsAND: 413
Non-Leading client : comma seperated leading clients killed
25 : 
26 : 
27 : 
28 : 
31 : 
25 : 
27 : 
25 : 
21 : 
22 : 
23 : 
19 : 
25 : 
28 : 
31 : 
18 : 
17 : 
19 : 
16 : 
26 : 
20 : 
29 : 
26 : 
24 : 
21 : 
22 : 
30 : 
22 : 
29 : 
25 : 
19 : 
28 : 
22 : 
25 : 
26 : 
23 : 
21 : 
16 : 
31 : 
27 : 
17 : 
25 : 
27 : 
24 : 
31 : 
19 : 
18 : 
20 : 
18 : 
29 : 
28 : 
27 : 
28 : 
30 : 
18 : 
28 : 
20 : 
28 : 
30 : 
18 : 
23 : 
27 : 
16 : 
20 : 
24 : 
19 : 
27 : 
30 : 
16 : 
23 : 
22 : 
22 : 
25 : 
23 : 
19 : 
25 : 
29 : 
20 : 
27 : 
20 : 
16 : 
27 : 
26 : 
24 : 
20 : 
20 : 
25 : 
16 : 
23 : 
22 : 
23 : 
16 : 
20 : 
23 : 
27 : 
30 : 
23 : 
20 : 
19 : 
23 : 
20 : 
22 : 
16 : 
20 : 
20 : 
29 : 
20 : 
16 : 
30 : 
19 : 
23 : 
29 : 
30 : 
26 : 
23 : 
20 : 
29 : 
19 : 
30 : 
29 : 
16 : 
16 : 
23 : 
22 : 
23 : 
23 : 
27 : 
23 : 
23 : 
23 : 
23 : 
26 : 
23 : 
25 : 
25 : 
23 : 
26 : 
16 : 
25 : 
16 : 
30 : 
27 : 
19 : 
30 : 
30 : 
16 : 
19 : 
30 : 
23 : 
16 : 
30 : 
19 : 
23 : 
30 : 
19 : 
30 : 
16 : 
30 : 
23 : 
25 : 
25 : 10
30 : 
23 : 
26 : 
27 : 
21 : 
21 : 
16 : 
26 : 
25 : 
30 : 
21 : 
19 : 
22 : 
23 : 
Node : startTime, EndTime
95 : 15-04 09:02:52.803055,15-04 09:02:52.914299
96 : 15-04 09:02:52.804139,15-04 09:02:52.914338
90 : 15-04 09:02:52.795332,15-04 09:02:52.914340
91 : 15-04 09:02:52.797512,15-04 09:02:52.914363
85 : 15-04 09:02:52.788388,15-04 09:02:52.914365
86 : 15-04 09:02:52.789667,15-04 09:02:52.914387
820 : 15-04 09:03:53.885305,15-04 09:03:54.934845
821 : 01-01 00:00:00.000000,15-04 09:03:54.934860
815 : 15-04 09:03:53.870434,15-04 09:03:54.934861
816 : 01-01 00:00:00.000000,15-04 09:03:54.934869
810 : 15-04 09:03:53.855494,15-04 09:03:54.934870
811 : 01-01 00:00:00.000000,15-04 09:03:54.934878
945 : 15-04 09:04:04.280809,15-04 09:04:05.654172
946 : 01-01 00:00:00.000000,15-04 09:04:05.654189
940 : 15-04 09:04:04.255607,15-04 09:04:05.654190
941 : 01-01 00:00:00.000000,15-04 09:04:05.654199
935 : 15-04 09:04:04.228322,15-04 09:04:05.654200
936 : 01-01 00:00:00.000000,15-04 09:04:05.654208
1050 : 15-04 09:04:14.843377,15-04 09:04:15.376795
1051 : 01-01 00:00:00.000000,15-04 09:04:15.376812
1045 : 15-04 09:04:14.806146,15-04 09:04:15.376813
1046 : 01-01 00:00:00.000000,15-04 09:04:15.376822
1040 : 15-04 09:04:14.768635,15-04 09:04:15.376822
1041 : 01-01 00:00:00.000000,15-04 09:04:15.376831
1090 : 15-04 09:04:19.308777,15-04 09:04:21.480567
1091 : 01-01 00:00:00.000000,15-04 09:04:21.480587
1085 : 15-04 09:04:19.261172,15-04 09:04:21.480588
1086 : 01-01 00:00:00.000000,15-04 09:04:21.480597
1080 : 15-04 09:04:19.206716,15-04 09:04:21.480598
1081 : 01-01 00:00:00.000000,15-04 09:04:21.480606
1020 : 15-04 09:04:11.332137,15-04 09:04:27.420954
1021 : 01-01 00:00:00.000000,15-04 09:04:27.420970
1015 : 15-04 09:04:11.287909,15-04 09:04:27.420971
1016 : 01-01 00:00:00.000000,15-04 09:04:27.420981
1010 : 15-04 09:04:11.250063,15-04 09:04:27.420981
1011 : 01-01 00:00:00.000000,15-04 09:04:27.420993
1170 : 15-04 09:04:25.355664,15-04 09:04:37.674683
1171 : 01-01 00:00:00.000000,15-04 09:04:37.674704
1165 : 15-04 09:04:25.286854,15-04 09:04:37.674705
1166 : 01-01 00:00:00.000000,15-04 09:04:37.674713
1160 : 15-04 09:04:25.085088,15-04 09:04:37.674714
