OK
478.968238
480
Boogie Dump Took : 2.063123
0.001939
14.518222
0.949718927083333
0,0,0,0,0,0,0,20.906483,9,10,12
0,0,0,0,0,0,0,26.933226,9,13,10
0,0,0,0,0,0,0,35.805964,12,8,8
0,0,0,0,0,0,0,64.655089,11,14,10
0,0,0,0,0,0,0,16.709313,6,12,11
0,0,0,0,0,0,0,23.642129,8,13,9
0,0,0,0,0,0,0,28.827431,8,14,7
0,0,0,0,0,0,0,83.231256,7,11,12
0,0,0,0,0,0,0,18.048888,10,11,12
0,0,0,0,0,0,0,23.254335,7,17,10
0,0,0,0,0,0,0,18.752734,10,14,7
0,0,0,0,0,0,0,52.810175,7,14,6
0,0,0,0,0,0,0,43.848629,8,13,7
0,0,0,0,0,0,0,38.289269,7,18,3
0,0,0,0,0,0,0,29.894049,9,14,5
0,0,0,0,0,0,0,9.957882,8,10,7
0,0,0,0,0,0,0,88.297032,9,0,0
0,0,0,0,0,0,0,78.142315,8,0,5
0,0,0,0,0,0,0,71.338481,7,1,10
0,0,0,0,0,0,0,83.263877,11,0,2
0,0,0,0,0,0,0,88.528154,7,0,5
0,0,0,0,0,0,0,67.122114,5,2,13
0,0,0,0,0,0,0,76.521171,6,0,6
0,0,0,0,0,0,0,112.144291,8,0,5
0,0,0,0,0,0,0,74.091744,8,0,2
0,0,0,0,0,0,0,76.582861,6,1,2
0,0,0,0,0,0,0,75.692639,4,3,6
0,0,0,0,0,0,0,72.735673,6,0,2
0,0,0,0,0,0,0,77.566211,5,0,5
0,0,0,0,0,0,0,78.701081,6,2,7
0,0,0,0,0,0,0,146.270863,6,2,3
0,0,0,0,0,0,0,82.026256,6,1,4
#stats#
TotalSplitsOR: 40
TotalSplitsAND: 440
Non-Leading client : comma seperated leading clients killed
18 : 
17 : 
29 : 
19 : 
26 : 
26 : 
22 : 
31 : 
31 : 
21 : 
21 : 
30 : 
30 : 
30 : 
25 : 
29 : 
18 : 
18 : 
19 : 
26 : 
21 : 
29 : 
25 : 
26 : 
31 : 
17 : 
19 : 
31 : 
29 : 
29 : 
17 : 
25 : 
30 : 
21 : 
31 : 
18 : 
19 : 
28 : 
Node : startTime, EndTime
50 : 08-04 18:23:06.967587,08-04 18:23:07.001379
51 : 08-04 18:23:06.968133,08-04 18:23:07.005177
535 : 08-04 18:23:53.054007,08-04 18:23:53.194129
536 : 08-04 18:23:53.054948,08-04 18:23:53.194150
570 : 08-04 18:23:59.488936,08-04 18:23:59.893368
571 : 08-04 18:23:59.490526,08-04 18:23:59.893381
595 : 08-04 18:24:02.339893,08-04 18:24:02.702637
596 : 08-04 18:24:02.341874,08-04 18:24:02.702656
610 : 08-04 18:24:02.900177,08-04 18:24:03.299521
611 : 08-04 18:24:02.902716,08-04 18:24:03.299537
655 : 08-04 18:24:08.622680,08-04 18:24:09.073265
656 : 08-04 18:24:08.624178,08-04 18:24:09.073279
675 : 08-04 18:24:10.109300,08-04 18:24:10.727090
676 : 08-04 18:24:10.112667,08-04 18:24:10.727113
741 : 08-04 18:24:15.049959,08-04 18:24:26.687130
740 : 08-04 18:24:15.046093,08-04 18:24:26.687258
615 : 08-04 18:24:02.913220,08-04 18:25:19.433622
616 : 08-04 18:24:02.915723,08-04 18:25:19.433805
1270 : 08-04 18:25:24.555291,08-04 18:25:25.960672
1271 : 01-01 00:00:00.000000,08-04 18:25:25.960689
1310 : 08-04 18:25:29.305021,08-04 18:25:33.202286
1311 : 01-01 00:00:00.000000,08-04 18:25:33.202309
1330 : 08-04 18:25:30.457665,08-04 18:25:34.822586
1331 : 01-01 00:00:00.000000,08-04 18:25:34.822617
1340 : 08-04 18:25:34.868650,08-04 18:25:36.054103
1341 : 01-01 00:00:00.000000,08-04 18:25:36.054133
1350 : 08-04 18:25:35.190770,08-04 18:25:38.843142
1351 : 01-01 00:00:00.000000,08-04 18:25:38.843165
715 : 08-04 18:24:13.306838,08-04 18:25:39.947975
716 : 08-04 18:24:13.309383,08-04 18:25:39.948043
665 : 08-04 18:24:09.811633,08-04 18:25:40.341801
666 : 08-04 18:24:09.814277,08-04 18:25:40.341887
1410 : 08-04 18:25:43.226312,08-04 18:25:43.811614
1411 : 01-01 00:00:00.000000,08-04 18:25:43.811647
685 : 08-04 18:24:10.807175,08-04 18:25:44.910907
686 : 08-04 18:24:10.809389,08-04 18:25:44.910976
1395 : 08-04 18:25:41.113328,08-04 18:25:46.878559
1396 : 08-04 18:25:44.138439,08-04 18:25:46.878583
1280 : 08-04 18:25:25.303023,08-04 18:25:46.999804
1281 : 08-04 18:25:40.610068,08-04 18:25:46.999825
1440 : 08-04 18:25:47.786884,08-04 18:25:48.041942
1441 : 01-01 00:00:00.000000,08-04 18:25:48.041962
1500 : 08-04 18:25:48.748590,08-04 18:25:54.487759
1501 : 01-01 00:00:00.000000,08-04 18:25:54.487781
1290 : 08-04 18:25:27.374107,08-04 18:25:58.904996
1291 : 08-04 18:25:40.631012,08-04 18:25:58.905086
1485 : 08-04 18:25:48.676866,08-04 18:26:09.335854
1486 : 08-04 18:25:52.051126,08-04 18:26:09.335866
1625 : 08-04 18:26:12.612967,08-04 18:26:13.714333
1626 : 01-01 00:00:00.000000,08-04 18:26:13.714361
695 : 08-04 18:24:11.738126,08-04 18:26:16.188932
696 : 08-04 18:24:11.740158,08-04 18:26:16.189010
1570 : 08-04 18:26:01.537295,08-04 18:26:18.003870
1571 : 08-04 18:26:05.021292,08-04 18:26:18.003894
1710 : 08-04 18:26:28.036208,08-04 18:26:36.325484
1711 : 08-04 18:26:33.326393,08-04 18:26:36.325506
910 : 08-04 18:24:34.149792,08-04 18:26:40.214566
911 : 08-04 18:24:34.589369,08-04 18:26:40.214695
1135 : 08-04 18:25:01.624727,08-04 18:26:56.014500
1136 : 08-04 18:25:10.266070,08-04 18:26:56.014631
1890 : 08-04 18:27:00.768701,08-04 18:27:01.242294
1891 : 08-04 18:27:00.771963,08-04 18:27:01.242320
855 : 08-04 18:24:26.972858,08-04 18:27:14.061580
856 : 08-04 18:24:27.201332,08-04 18:27:14.061709
1980 : 08-04 18:27:20.121532,08-04 18:27:20.803347
1981 : 08-04 18:27:20.125584,08-04 18:27:20.803360
1965 : 08-04 18:27:13.996870,08-04 18:27:23.632905
1966 : 08-04 18:27:14.002042,08-04 18:27:23.632926
1790 : 08-04 18:26:42.400819,08-04 18:27:27.467195
2025 : 08-04 18:27:24.100277,08-04 18:27:27.467269
2026 : 08-04 18:27:24.105516,08-04 18:27:27.467277
1791 : 08-04 18:26:42.403383,08-04 18:27:27.467310
2000 : 08-04 18:27:20.433794,08-04 18:27:38.472351
2001 : 08-04 18:27:20.437025,08-04 18:27:38.472381
2080 : 08-04 18:27:37.664510,08-04 18:27:48.739402
2081 : 08-04 18:27:37.667669,08-04 18:27:48.739441
2140 : 08-04 18:27:58.677293,08-04 18:28:04.299049
2141 : 08-04 18:27:58.679471,08-04 18:28:04.299069
2245 : 08-04 18:28:41.953782,08-04 18:28:43.496104
2246 : 08-04 18:28:41.956827,08-04 18:28:43.496124
