NOK
788.468408
897
Boogie Dump Took : 1.674809
0.001322
8.179373
0.872565362318841
0,0,0,0,0,0,0,10.530215,8,6,14
0,0,0,0,0,0,0,10.918335,16,13,16
0,0,0,0,0,0,0,10.763976,7,6,13
0,0,0,0,0,0,0,13.085791,12,10,9
0,0,0,0,0,0,0,12.374425,8,8,6
0,0,0,0,0,0,0,13.475642,9,10,18
0,0,0,0,0,0,0,10.971063,4,8,8
0,0,0,0,0,0,0,11.988318,18,6,7
0,0,0,0,0,0,0,14.744934,11,16,15
0,0,0,0,0,0,0,14.223091,9,12,8
0,0,0,0,0,0,0,13.913553,14,10,9
0,0,0,0,0,0,0,13.700988,13,18,5
0,0,0,0,0,0,0,13.905647,9,7,10
0,0,0,0,0,0,0,13.647364,8,13,8
0,0,0,0,0,0,0,13.953127,5,12,12
0,0,0,0,0,0,0,15.3532,15,8,8
0,0,0,0,0,0,0,161.905819,15,14,13
0,0,0,0,0,0,0,158.37227,14,9,10
0,0,0,0,0,0,0,155.732191,17,11,11
0,0,0,0,0,0,0,157.077349,15,9,11
0,0,0,0,0,0,0,154.263898,18,12,20
0,0,0,0,0,0,0,153.44712,16,8,6
0,0,0,0,0,0,0,164.36804,16,18,5
0,0,0,0,0,0,0,161.782695,16,16,11
0,0,0,0,0,0,0,161.025679,17,9,10
0,0,0,0,0,0,0,162.866453,16,6,12
0,0,0,0,0,0,0,161.085676,15,10,12
0,0,0,0,0,0,0,162.091075,14,19,11
0,0,0,0,0,0,0,163.835381,14,11,21
0,0,0,0,0,0,0,154.357857,18,5,9
0,0,0,0,0,0,0,148.422639,13,13,23
0,0,0,0,0,0,0,158.699192,12,15,17
#stats#
TotalSplitsOR: 81
TotalSplitsAND: 816
Non-Leading client : comma seperated leading clients killed
18 : 
21 : 
19 : 
20 : 
24 : 
23 : 
26 : 
27 : 
21 : 
31 : 
16 : 
18 : 
17 : 
29 : 
22 : 
28 : 
19 : 
24 : 
20 : 
23 : 
25 : 
30 : 
16 : 
21 : 
28 : 
22 : 
19 : 
29 : 
18 : 
20 : 
24 : 
27 : 
23 : 
31 : 
21 : 
25 : 
26 : 
30 : 
16 : 
29 : 
18 : 
19 : 
17 : 
27 : 
22 : 
24 : 
20 : 
23 : 
30 : 
28 : 
21 : 
26 : 
16 : 
31 : 
22 : 
25 : 
29 : 
19 : 
20 : 
24 : 
23 : 
17 : 
18 : 
22 : 
27 : 
31 : 
19 : 
20 : 
23 : 
30 : 
21 : 
16 : 
17 : 
22 : 
31 : 
28 : 
16 : 
18 : 
26 : 
19 : 
27 : 
29 : 
20 : 
28 : 
22 : 
25 : 
16 : 
31 : 
29 : 
17 : 
30 : 
24 : 
26 : 
18 : 
25 : 
28 : 
29 : 
30 : 
21 : 
28 : 
25 : 
17 : 
20 : 
18 : 
22 : 
31 : 
29 : 
23 : 
26 : 
19 : 
24 : 
16 : 
20 : 
28 : 
22 : 
25 : 
17 : 
30 : 
29 : 
23 : 
31 : 
26 : 
21 : 
24 : 
30 : 
18 : 
27 : 
16 : 
31 : 
25 : 
28 : 
24 : 
16 : 
30 : 
19 : 
17 : 
27 : 
21 : 
18 : 
31 : 
20 : 
22 : 
24 : 
22 : 
20 : 
23 : 
20 : 
29 : 
26 : 
22 : 
16 : 
29 : 
26 : 
23 : 
16 : 
19 : 
28 : 
23 : 
20 : 
25 : 
19 : 
30 : 
18 : 
30 : 
20 : 
26 : 
23 : 
28 : 
31 : 
30 : 
25 : 
18 : 
20 : 
31 : 
29 : 
22 : 
22 : 
24 : 
23 : 
24 : 
27 : 
16 : 
20 : 
17 : 
17 : 12,-1,-1,-1
30 : 
25 : 
23 : 
28 : 
16 : 
21 : 
18 : 
25 : 
30 : 
28 : 
19 : 
16 : 
26 : 
29 : 
21 : 
16 : 
22 : 
19 : 
19 : 
31 : 
25 : 
19 : 
18 : 
30 : 
29 : 
17 : 
27 : 
28 : 
18 : 
26 : 
23 : 
25 : 
30 : 
27 : 
23 : 
16 : 
18 : 
29 : 
18 : 
21 : 
23 : 
28 : 
26 : 15,-1
23 : 
27 : 
25 : 
27 : 
23 : 
24 : 
22 : 
17 : 
29 : 
31 : 
22 : 
24 : 
22 : 
16 : 
26 : 
31 : 
20 : 
16 : 
27 : 
28 : 
25 : 4,-1,-1,-1
19 : 
19 : 
23 : 
30 : 
28 : 
24 : 
20 : 
24 : 
22 : 
21 : 
30 : 
30 : 
30 : 
29 : 
22 : 
26 : 
20 : 
20 : 
24 : 
16 : 
17 : 7,-1
29 : 
27 : 
21 : 
22 : 
19 : 
31 : 
27 : 
22 : 
28 : 
24 : 
16 : 
27 : 
27 : 
20 : 
28 : 
30 : 6,-1,-1
28 : 
28 : 
16 : 
16 : 
19 : 
22 : 
19 : 
24 : 
23 : 
26 : 
27 : 
23 : 
31 : 
22 : 
24 : 
24 : 
29 : 
27 : 
21 : 
22 : 
28 : 
23 : 
18 : 
22 : 
31 : 
21 : 
21 : 
17 : 
20 : 
26 : 
16 : 
17 : 
22 : 
31 : 
20 : 
23 : 
31 : 
27 : 
26 : 
30 : 
26 : 
26 : 
18 : 
22 : 
18 : 
18 : 
17 : 
16 : 
27 : 
31 : 
20 : 
23 : 
29 : 
27 : 
20 : 
19 : 
27 : 
26 : 
27 : 
23 : 
18 : 
30 : 
31 : 
17 : 
22 : 
28 : 
27 : 
18 : 
20 : 
23 : 
31 : 
27 : 
25 : 
31 : 
23 : 
17 : 
20 : 
26 : 
27 : 
22 : 
28 : 
Node : startTime, EndTime
390 : 14-04 00:04:13.424138,14-04 00:04:13.696295
391 : 14-04 00:04:13.425032,14-04 00:04:13.696320
710 : 14-04 00:05:23.214119,14-04 00:05:24.056325
711 : 14-04 00:05:23.215131,14-04 00:05:24.056354
780 : 14-04 00:05:41.328924,14-04 00:05:41.995853
781 : 14-04 00:05:41.330707,14-04 00:05:41.995875
820 : 14-04 00:05:47.134772,14-04 00:05:48.284263
821 : 14-04 00:05:47.136105,14-04 00:05:48.284290
1025 : 14-04 00:06:04.408181,14-04 00:06:04.528069
1026 : 01-01 00:00:00.000000,14-04 00:06:04.528088
1415 : 14-04 00:06:49.763608,14-04 00:06:49.989162
1416 : 14-04 00:06:49.768785,14-04 00:06:49.989184
855 : 14-04 00:05:49.707991,14-04 00:06:55.625870
856 : 14-04 00:05:49.711366,14-04 00:06:55.625949
1360 : 14-04 00:06:42.205075,14-04 00:07:14.060439
1361 : 14-04 00:06:42.302088,14-04 00:07:14.060465
740 : 14-04 00:05:30.568228,14-04 00:07:15.915935
845 : 14-04 00:05:49.642951,14-04 00:07:15.916082
846 : 14-04 00:05:49.645520,14-04 00:07:15.916180
741 : 14-04 00:05:30.570149,14-04 00:07:15.916462
1625 : 14-04 00:07:21.265487,14-04 00:07:21.917916
1626 : 14-04 00:07:21.268072,14-04 00:07:21.917940
1240 : 14-04 00:06:28.462146,14-04 00:07:24.999603
1605 : 14-04 00:07:18.015961,14-04 00:07:24.999690
1606 : 14-04 00:07:18.020306,14-04 00:07:24.999695
1241 : 14-04 00:06:28.464801,14-04 00:07:24.999717
1645 : 14-04 00:07:30.306057,14-04 00:07:31.263199
1646 : 14-04 00:07:30.308289,14-04 00:07:31.263225
1925 : 14-04 00:08:21.422068,14-04 00:08:22.930457
1926 : 01-01 00:00:00.000000,14-04 00:08:22.930487
2020 : 14-04 00:08:40.600477,14-04 00:08:41.769930
2021 : 01-01 00:00:00.000000,14-04 00:08:41.769948
2045 : 14-04 00:08:43.073930,14-04 00:08:44.180913
2046 : 01-01 00:00:00.000000,14-04 00:08:44.180931
2085 : 14-04 00:08:48.429188,14-04 00:08:49.619045
2086 : 01-01 00:00:00.000000,14-04 00:08:49.619065
2140 : 14-04 00:08:56.647704,14-04 00:08:58.045490
2141 : 14-04 00:08:57.178304,14-04 00:08:58.045506
2210 : 14-04 00:09:09.843215,14-04 00:09:10.144308
2211 : 01-01 00:00:00.000000,14-04 00:09:10.144326
2230 : 14-04 00:09:11.531720,14-04 00:09:11.918539
2231 : 01-01 00:00:00.000000,14-04 00:09:11.918557
2380 : 14-04 00:09:37.362086,14-04 00:09:37.686839
2381 : 01-01 00:00:00.000000,14-04 00:09:37.686876
2190 : 14-04 00:09:06.668658,14-04 00:09:38.795333
2191 : 14-04 00:09:07.716761,14-04 00:09:38.795363
1405 : 14-04 00:06:49.391148,14-04 00:09:39.957185
1680 : 14-04 00:07:32.991366,14-04 00:09:39.957261
1681 : 14-04 00:07:32.995917,14-04 00:09:39.957328
1406 : 14-04 00:06:49.403665,14-04 00:09:39.957331
2065 : 14-04 00:08:46.684573,14-04 00:10:23.766226
2066 : 14-04 00:08:49.096446,14-04 00:10:23.766268
1896 : 14-04 00:08:20.244675,14-04 00:10:35.483866
1895 : 14-04 00:08:13.892580,14-04 00:10:35.483909
2715 : 14-04 00:10:40.198105,14-04 00:10:41.107292
2716 : 01-01 00:00:00.000000,14-04 00:10:41.107311
2815 : 14-04 00:10:53.978851,14-04 00:10:54.326804
2816 : 01-01 00:00:00.000000,14-04 00:10:54.326837
2910 : 14-04 00:11:04.669623,14-04 00:11:05.333085
2911 : 01-01 00:00:00.000000,14-04 00:11:05.333114
2290 : 14-04 00:09:20.804813,14-04 00:11:23.917665
2291 : 14-04 00:09:39.146008,14-04 00:11:23.917708
1981 : 14-04 00:08:34.663602,14-04 00:11:23.917720
1980 : 14-04 00:08:33.680079,14-04 00:11:23.917761
3035 : 14-04 00:11:24.153741,14-04 00:11:25.084598
3036 : 01-01 00:00:00.000000,14-04 00:11:25.084616
2490 : 14-04 00:09:57.551072,14-04 00:11:42.447896
2491 : 14-04 00:10:00.046343,14-04 00:11:42.447928
2800 : 14-04 00:10:51.625458,14-04 00:11:50.688601
2801 : 14-04 00:11:21.170512,14-04 00:11:50.688621
2096 : 14-04 00:08:53.193656,14-04 00:12:08.442903
3120 : 14-04 00:11:45.934806,14-04 00:12:08.442941
3121 : 14-04 00:11:46.399233,14-04 00:12:08.442956
2095 : 14-04 00:08:48.837818,14-04 00:12:08.442971
3280 : 14-04 00:12:18.244886,14-04 00:12:18.597275
3281 : 01-01 00:00:00.000000,14-04 00:12:18.597292
3175 : 14-04 00:12:02.864931,14-04 00:12:26.998078
3176 : 14-04 00:12:07.123309,14-04 00:12:26.998110
3185 : 14-04 00:12:04.043434,14-04 00:12:29.667594
3186 : 14-04 00:12:08.459335,14-04 00:12:29.667613
3405 : 14-04 00:12:42.342298,14-04 00:12:42.919569
3406 : 01-01 00:00:00.000000,14-04 00:12:42.919586
2276 : 14-04 00:09:32.644442,14-04 00:12:43.367245
2275 : 14-04 00:09:20.205157,14-04 00:12:43.367274
3525 : 14-04 00:13:05.741440,14-04 00:13:06.041961
