NOK
9.209444
86
Boogie Dump Took : 1.327989
0.000365
0.623267
0.0909513139534884
0,0,0,0,0,0,0,2.52616,3,0,3
0,0,0,0,0,0,0,2.494029,2,0,2
0,0,0,0,0,0,0,2.538983,2,0,3
0,0,0,0,0,0,0,2.782223,2,1,2
0,0,0,0,0,0,0,1.863683,2,0,3
0,0,0,0,0,0,0,2.656134,1,0,1
0,0,0,0,0,0,0,2.845503,2,0,1
0,0,0,0,0,0,0,2.744279,2,0,1
0,0,0,0,0,0,0,2.337158,2,0,3
0,0,0,0,0,0,0,2.943178,3,0,2
0,0,0,0,0,0,0,2.841179,4,0,1
0,0,0,0,0,0,0,2.436573,3,0,3
0,0,0,0,0,0,0,2.700121,3,0,3
0,0,0,0,0,0,0,2.971654,3,0,2
0,0,0,0,0,0,0,2.752348,2,0,3
0,0,0,0,0,0,0,2.662512,2,0,5
0,0,0,0,0,0,0,2.482855,2,0,2
0,0,0,0,0,0,0,2.646163,2,0,4
0,0,0,0,0,0,0,2.902222,2,0,3
0,0,0,0,0,0,0,3.008088,2,0,1
0,0,0,0,0,0,0,2.853269,2,0,2
0,0,0,0,0,0,0,1.718423,1,1,3
0,0,0,0,0,0,0,2.156085,3,0,3
0,0,0,0,0,0,0,3.166686,6,0,0
0,0,0,0,0,0,0,3.314661,3,0,0
0,0,0,0,0,0,0,2.839222,2,0,2
0,0,0,0,0,0,0,2.77572,2,1,2
0,0,0,0,0,0,0,2.200162,2,0,4
0,0,0,0,0,0,0,3.041474,2,0,2
0,0,0,0,0,0,0,2.664476,2,0,2
0,0,0,0,0,0,0,2.153956,1,0,1
0,0,0,0,0,0,0,2.333875,2,0,2
#stats#
TotalSplitsOR: 3
TotalSplitsAND: 83
Non-Leading client : comma seperated leading clients killed
9 : 
10 : 
11 : 
8 : 
13 : 
12 : 
14 : 
16 : 
15 : 
17 : 
19 : 
23 : 
18 : 
24 : 
20 : 
26 : 
25 : 
28 : 
9 : 
29 : 
10 : 
13 : 
22 : 
11 : 
31 : 
23 : 
27 : 
24 : 
12 : 
10 : 
23 : 
22 : 
23 : 
21 : 
23 : 
26 : 
Node : startTime, EndTime
