NOK
6.931832
127
Boogie Dump Took : 0.955694
0.000334
0.223813
0.0459792204724409
0,0,0,0,0,0,0,3.386475,2,0,4
0,0,0,0,0,0,0,3.822402,5,0,4
0,0,0,0,0,0,0,3.797088,4,0,3
0,0,0,0,0,0,0,3.735655,3,0,1
0,0,0,0,0,0,0,3.919125,4,0,3
0,0,0,0,0,0,0,2.930135,3,0,8
0,0,0,0,0,0,0,3.969809,4,0,3
0,0,0,0,0,0,0,3.987942,3,0,2
0,0,0,0,0,0,0,3.544898,5,0,3
0,0,0,0,0,0,0,3.503692,5,0,3
0,0,0,0,0,0,0,3.255794,5,0,3
0,0,0,0,0,0,0,3.496141,6,0,3
0,0,0,0,0,0,0,3.343359,5,0,5
0,0,0,0,0,0,0,3.423686,4,0,5
0,0,0,0,0,0,0,3.299586,3,0,5
0,0,0,0,0,0,0,3.239616,4,0,5
0,0,0,0,0,0,0,3.478507,5,0,3
0,0,0,0,0,0,0,3.570909,6,0,3
0,0,0,0,0,0,0,3.237862,2,0,5
0,0,0,0,0,0,0,3.41236,5,0,4
0,0,0,0,0,0,0,3.515456,4,0,4
0,0,0,0,0,0,0,3.429048,4,0,5
0,0,0,0,0,0,0,3.340096,5,0,2
0,0,0,0,0,0,0,3.166464,3,0,3
0,0,0,0,0,0,0,3.509265,4,0,1
0,0,0,0,0,0,0,3.470906,5,0,3
0,0,0,0,0,0,0,3.42645,4,0,3
0,0,0,0,0,0,0,2.651599,2,0,8
0,0,0,0,0,0,0,2.609128,3,0,8
0,0,0,0,0,0,0,2.830462,4,0,6
0,0,0,0,0,0,0,3.196049,3,0,4
0,0,0,0,0,0,0,3.276823,3,0,2
#stats#
TotalSplitsOR: 3
TotalSplitsAND: 124
Non-Leading client : comma seperated leading clients killed
8 : 
10 : 
9 : 
11 : 
12 : 
13 : 
17 : 
14 : 
15 : 
18 : 
16 : 
20 : 
19 : 
21 : 
23 : 
24 : 
22 : 
25 : 
26 : 
30 : 
10 : 
11 : 
9 : 
12 : 
17 : 
8 : 
14 : 
28 : 
31 : 
22 : 
20 : 
19 : 
25 : 
16 : 
26 : 
24 : 
9 : 
17 : 
12 : 
29 : 
13 : 
8 : 
15 : 
11 : 
23 : 
19 : 
22 : 
10 : 
20 : 
21 : 
28 : 
27 : 
17 : 
9 : 
24 : 
8 : 
13 : 
26 : 
11 : 
31 : 
10 : 
29 : 
16 : 
15 : 
25 : 
21 : 
30 : 
19 : 
22 : 
17 : 
29 : 
12 : 
11 : 
25 : 
16 : 
Node : startTime, EndTime
