NOK
16.607156
195
Boogie Dump Took : 0.821056
7.9E-05
0.962612
0.079815558974359
0,0,0,0,0,0,0,4.166992,5,0,3
0,0,0,0,0,0,0,4.627625,7,0,13
0,0,0,0,0,0,0,5.672937,11,0,11
0,0,0,0,0,0,0,2.976193,3,0,2
0,0,0,0,0,0,0,5.25954,11,0,14
0,0,0,0,0,0,0,5.166939,12,0,12
0,0,0,0,0,0,0,4.727062,11,0,9
0,0,0,0,0,0,0,6.251657,12,0,8
0,0,0,0,0,0,0,3.115206,5,1,2
0,0,0,0,0,0,0,3.500247,7,1,3
0,0,0,0,0,0,0,3.262184,7,0,4
0,0,0,0,0,0,0,3.204903,5,0,4
0,0,0,0,0,0,0,3.196755,3,0,5
0,0,0,0,0,0,0,4.069287,6,0,4
0,0,0,0,0,0,0,2.951199,2,0,7
0,0,0,0,0,0,0,4.107888,6,1,3
0,0,0,0,0,0,0,3.318864,6,1,6
0,0,0,0,0,0,0,4.161524,7,0,7
0,0,0,0,0,0,0,3.425921,6,0,6
0,0,0,0,0,0,0,4.196849,5,1,2
0,0,0,0,0,0,0,3.103151,3,0,6
0,0,0,0,0,0,0,3.31007,4,0,4
0,0,0,0,0,0,0,3.242638,4,0,6
0,0,0,0,0,0,0,2.533408,5,1,8
0,0,0,0,0,0,0,3.378126,5,1,3
0,0,0,0,0,0,0,4.598323,3,0,5
0,0,0,0,0,0,0,3.180628,3,0,4
0,0,0,0,0,0,0,3.34254,5,0,4
0,0,0,0,0,0,0,4.729274,8,0,8
0,0,0,0,0,0,0,4.382507,4,0,4
0,0,0,0,0,0,0,3.245143,3,0,4
0,0,0,0,0,0,0,4.710952,3,1,3
#stats#
TotalSplitsOR: 3
TotalSplitsAND: 192
Non-Leading client : comma seperated leading clients killed
9 : 
11 : 
8 : 
14 : 
10 : 
16 : 
12 : 
13 : 
15 : 
17 : 
18 : 
19 : 
21 : 
20 : 
22 : 
24 : 
25 : 
26 : 
27 : 
9 : 
8 : 
11 : 
28 : 
16 : 
30 : 
13 : 
10 : 
18 : 
12 : 
19 : 
9 : 
24 : 
27 : 
15 : 
17 : 
23 : 
21 : 
29 : 
16 : 
10 : 
24 : 
28 : 
8 : 
15 : 
18 : 
13 : 
10 : 
31 : 
11 : 
24 : 
16 : 
27 : 
29 : 
21 : 
9 : 
26 : 
30 : 
19 : 
28 : 
15 : 
17 : 
23 : 
16 : 
10 : 
11 : 
18 : 
13 : 
22 : 
24 : 
17 : 
9 : 
18 : 
8 : 
10 : 
23 : 
9 : 
31 : 
23 : 
28 : 
20 : 
28 : 
19 : 
8 : 
17 : 
15 : 
28 : 
16 : 
9 : 
22 : 
23 : 
27 : 
19 : 
15 : 
28 : 
31 : 
29 : 
25 : 
17 : 
13 : 
14 : 
15 : 
Node : startTime, EndTime
