UWQ,0.098504,15
UWQ,0.025212,27
UWQ,0.062517,23
UWQ,0.041975,19
UWQ,0.083019,21
UWQ,0.06279,12
UWQ,0.040599,11
UWQ,0.035219,29
UWQ,0.030766,19
UWQ,0.028946,42
UWQ,0.060705,43
UWQ,0.199853,40
UWQ,0.338086,36
UWQ,0.392236,32
UWQ,0.447427,29
UWQ,0.38054,29
UWQ,0.754003,28
UWQ,0.433703,33
UWQ,0.593481,34
UWQ,0.609458,33
UWQ,0.572836,35
UWQ,0.518963,40
UWQ,0.607713,40
UWQ,1.233749,46
UWQ,1.109535,63
UWQ,0.803694,42
UWQ,0.88604,22
UWQ,0.707663,15
UWQ,0.708162,13
UWQ,0.765914,13
UWQ,0.747009,12
UWQ,1.288693,8
UWQ,0.737775,9
UWQ,0.909134,4
UWQ,0.698566,4
UWQ,0.940499,4
UWQ,0.800284,3
UWQ,0.642995,3
UWQ,0.609889,3
UWQ,0.780937,2
UWQ,0.696656,1
UWQ,0.387662,1
UWQ,0.6208,1
UWQ,0.599072,0
UWQ,0.519979,0
UWQ,0.30514,2
UWQ,0.296133,1
UWQ,0.343112,1
UWQ,0.193564,1
UWQ,0.213848,1
UWQ,0.224999,1
UWQ,0.274791,0
UWQ,0.376891,UWQ,0.781119,4
UWQ,0.085731,0
UWQ,0.720819,0
UWQ,0.764171,16
UWQ,0.632298,12
UWQ,0.625515,14
UWQ,0.833647,8
UWQ,0.937287,4
UWQ,0.713356,5
UWQ,0.874349,4
UWQ,0.728175,4
UWQ,0.982386,5
UWQ,0.875034,5
UWQ,0.899365,8
UWQ,0.6746,6
UWQ,1.426677,7
UWQ,1.016433,0
UWQ,1.058805,6
UWQ,0.969338,4
UWQ,1.338433,6
UWQ,1.632939,7
UWQ,1.70487,4
UWQ,1.900653,5
UWQ,1.363866,5
UWQ,1.291912,8
UWQ,1.381338,6
UWQ,1.239521,4
UWQ,1.592053,3
UWQ,1.445304,3
UWQ,1.705095,2
UWQ,0.332748,0
UWQ,1.889551,2
UWQ,1.623562,2
UWQ,1.69528,3
UWQ,1.945116,3
UWQ,1.508587,5
UWQ,2.541627,4
UWQ,2.021681,0
UWQ,0.719107,0
UWQ,0.724603,5
UWQ,0.512259,8
UWQ,0.617812,6
UWQ,0.576849,4
UWQ,0.718711,3
