Name,OR_OutCome,min(alpha 10/50/90)_Outcome,OR_TotalSplits,min(alpha 10/50/90)_TotalSplits,OR_RunTime,min(alpha 10/50/90)_RunTime,Who Performed Better,By How Much Percentage,min(alpha 10/50/90) TimedOut but not OR,OR TimedOut but not min(alpha 10/50/90)
sys_zwregistrycreate_0.bpl.bpl.txt,OK,OK,0,25,407.387172,860.498548,OR,111.2237711795206,0,0
hw_irqlreturn_0.bpl.bpl.txt,OK,OK,0,62,147.296405,112.139438,10,31.351117525664783,0,0
1394diag_ioallocatecomplete_0.bpl.bpl.txt,OK,OK,0,86,754.846667,324.653412,10,132.50846567415715,0,0
flpydisk_irqlexapclte1_1.bpl.bpl.txt,TIMEDOUT,OK,0,37,899.08596,279.611652,90,N/A,0,1
usbprint_ioallocateirpsignaleventincompletion_0.bpl.bpl.txt,OK,OK,0,72,257.134821,173.875799,90,47.88419232512052,0,0
serial_zwregistryopen_1.bpl.bpl.txt,TIMEDOUT,OK,0,109,898.405423,727.3662099999999,50,N/A,0,1
hw_irqldispatch_0.bpl.bpl.txt,OK,OK,0,55,326.93086,110.253626,10,196.52617502121882,0,0
ppa3x_nsremovelockquerymnremove_0.bpl.bpl.txt,OK,OK,0,97,392.829938,216.280418,90,81.62991436423063,0,0
ppa3x_nsremovelockmnremove_0.bpl.bpl.txt,OK,OK,0,78,501.419209,109.361515,50,358.4969484009069,0,0
mouclass_powerdownallocate_1.bpl.bpl.txt,OK,OK,0,104,103.36518799999999,274.367478,OR,165.43508826201722,0,0
filter_ioallocateirpsignaleventincompletion_0.bpl.bpl.txt,OK,OK,0,150,353.46097000000003,671.121475,OR,89.87145171926619,0,0
kbdclass_forwardedatbadirql_1.bpl.bpl.txt,OK,OK,0,75,275.018597,103.83958100000001,10,164.8494864400502,0,0
61883_multremovelock_1.bpl.bpl.txt,OK,OK,0,38,103.359415,69.941269,10,47.78029692312273,0,0
serial_pendedcompletedrequest3_2.bpl.bpl.txt,OK,OK,0,73,406.804955,89.607197,10,353.9869213853437,0,0
usbccgp_irqliopassive3_0.bpl.bpl.txt,OK,OK,0,79,788.7500560000001,240.416593,10,228.0763803187245,0,0
mouser_ioallocateirpsignaleventincompletion_0.bpl.bpl.txt,OK,OK,0,93,209.999983,267.055674,OR,27.169378866092586,0,0
kbdclass_forwardedatbadirql_0.bpl.bpl.txt,OK,OK,0,64,143.74786799999998,103.129069,50,39.38637223613449,0,0
kbdclass_powerdownallocate_1.bpl.bpl.txt,OK,OK,0,102,38.982194,323.52655200000004,OR,729.9341796924001,0,0
usbccgp_irqlioapclte_0.bpl.bpl.txt,OK,OK,0,74,803.760192,186.270006,10,331.5027466096716,0,0
mouser_iobuilddevicecontrolwait_0.bpl.bpl.txt,OK,OK,0,47,116.68192,96.478328,10,20.941067718337738,0,0
mp_irqlexpassive_0.bpl.bpl.txt,OK,OK,0,126,486.766656,850.895339,OR,74.80559288761144,0,0
daytona_completerequeststatuscheck_0.bpl.bpl.txt,OK,OK,0,77,98.63588999999999,109.578604,OR,11.094049032253888,0,0
mouser_ioallocateirpsignaleventincompletiontimeout_0.bpl.bpl.txt,OK,OK,0,56,268.660709,99.24105899999999,50,170.71527823982612,0,0
hw_irqlkewaitformutexobject_0.bpl.bpl.txt,OK,OK,0,159,257.3024,694.3711460000001,OR,169.86578671633072,0,0
1394vdev_markirppending_0.bpl.bpl.txt,OK,OK,0,80,275.124784,151.47474499999998,10,81.6307952853791,0,0
mouser_ioallocateirpsignaleventincompletion_1.bpl.bpl.txt,OK,OK,0,38,207.57075,60.301764,50,244.22002978221337,0,0
sbp2port_irqldispatch_1.bpl.bpl.txt,OK,OK,0,113,475.707762,398.68994399999997,10,19.317722746475905,0,0
serial_pendedcompletedrequest3_0.bpl.bpl.txt,OK,OK,0,90,363.867324,115.785269,10,214.26046434283447,0,0
kbdclass_ioallocatefree_0.bpl.bpl.txt,OK,OK,0,49,186.265522,65.69417,10,183.5343258009044,0,0
serial_markingqueuedirps_1.bpl.bpl.txt,OK,OK,0,161,157.065665,614.606826,OR,291.30565295731566,0,0
serial_markingqueuedirps_0.bpl.bpl.txt,OK,OK,0,156,158.267834,843.0437049999999,OR,432.66901030565685,0,0
filter_completerequeststatuscheck_1.bpl.bpl.txt,OK,OK,0,67,68.601433,359.64722700000004,OR,424.25614345402965,0,0
61883_multremovelock_0.bpl.bpl.txt,OK,OK,0,29,91.87121099999999,29.111106,10,215.58818479792552,0,0
filter_iobuilddevicecontrolnofree_0.bpl.bpl.txt,TIMEDOUT,OK,0,52,898.900684,47.746112,50,N/A,0,1
mouser_ioallocateirpsignaleventincompletiontimeout_1.bpl.bpl.txt,OK,OK,0,142,267.490953,333.298176,OR,24.60166307007775,0,0
avc_pendedcompletedrequest_0.bpl.bpl.txt,OK,OK,0,45,69.33445400000001,85.779742,OR,23.718782006994658,0,0
hw_pagedcode_0.bpl.bpl.txt,TIMEDOUT,OK,0,125,898.504833,235.20509199999998,50,N/A,0,1
modem_markingqueuedirps_0.bpl.bpl.txt,OK,OK,0,133,125.678609,190.76954999999998,OR,51.791582925619416,0,0
kbdclass_nsremovelockquerymnremove_1.bpl.bpl.txt,OK,OK,0,201,745.845758,673.153357,50,10.798787563648741,0,0
daytona_completerequeststatuscheck_1.bpl.bpl.txt,OK,OK,0,63,100.240351,70.340645,50,42.507011415661616,0,0
serial_zwregistryopen_2.bpl.bpl.txt,TIMEDOUT,OK,0,142,898.601276,503.255539,90,N/A,0,1
partmgr_completerequest_0.bpl.bpl.txt,OK,OK,0,67,88.006473,99.429606,OR,12.979878196004977,0,0
driver_irqlkedispatchlte_1.bpl.bpl.txt,TIMEDOUT,OK,0,148,899.282351,463.183087,10,N/A,0,1
mp_irqlkewaitformutexobject_0.bpl.bpl.txt,OK,OK,0,41,59.44351399999999,54.079876,10,9.917992415515144,0,0
61883_irqlexallocatepool_0.bpl.bpl.txt,OK,OK,0,95,101.283145,206.857078,OR,104.23642847978307,0,0
mouclass_removelockmnsurpriseremove_0.bpl.bpl.txt,OK,OK,0,154,49.55664,321.38572999999997,OR,548.5220345850727,0,0
cyzport_irqlreturn_0.bpl.bpl.txt,OK,OK,0,31,62.305641,81.482302,OR,30.778370452845515,0,0
kbdclass_completerequest_1.bpl.bpl.txt,OK,OK,0,50,215.971846,64.284572,50,235.9621745634396,0,0
cyyport_pagedcode_0.bpl.bpl.txt,OK,OK,0,63,148.036458,276.173329,OR,86.5576444689051,0,0
sbp2port_deletedevice_0.bpl.bpl.txt,OK,OK,0,45,27.861586000000003,65.046289,OR,133.46226234213657,0,0
mp_iobuildfsdirpsignaleventincompletiontimeout_0.bpl.bpl.txt,OK,OK,0,146,79.509693,377.106044,OR,374.28939764614614,0,0
kbdclass_ioallocateirpsignaleventincompletion_0.bpl.bpl.txt,OK,OK,0,82,248.832434,198.505047,50,25.353202732422226,0,0
serial_markingqueuedirps_2.bpl.bpl.txt,OK,OK,0,163,134.90526799999998,869.8057100000001,OR,544.7529610185425,0,0
